appid,review
15100,"I first played this when it came out on PS3 and had lots of fun, however, at that age, pretty much anything was fun to me. Now, don't get me wrong, as the debut of a great series; there's a lot to like here. Combat is fun (with decent depth), the climbing gives you a nice sense of freedom (although it can be buggy at times), the soundtrack and voice acting are nice, and the story's engaging and all around done well. My only issue is that it feels like a 5 hour game stretched out to 15-20 hours. 

Despite this, I do still think it's a must-play for any avid AC fan as it does a good job introducing you to the AC universe. Also, AC2 starts pretty much right where AC1 left off.

If you're interested in getting it, I'd wait for a sale as I find it's not really worth full-price.

7/10"
374320,"Hardcore, addictive, and endlessly enjoyable.
Dark Souls III brings the excellence of both the first and second installments, as well as Bloodborne, the estranged cousin.
Just as the previous three titles, the game relishes in challenging conflict. Learning patterns and mastering strategies. 

You will die.
You will return.
You will succeed.
And it is one of the best feelings in gaming. Getting that final shot in on the boss after making that perfect dodge, or getting that spell cast off just before the giant connects with you.

The game will get frustrating, but consider it a test in perseverance."
203160,PogChamp
252950,"Rocket League is a very special gem. It transcends virtual realms into reality. It is the epicenter of existence, and through experiencing it, very quickly you begin to question what your own eyes see.

 10/10 would recommend. It is highly mechanical and very rewarding. Esports meets chess."
319630,"From some teenage drama story to true detective time travel stylish thing!
great plot great soundtracks
This game is the real deal in other words masterpiece <3"
512900,"I have created a pickpocket troll with tranq gun and cannot be detected in lazers or cameras, 2 Million out of ten, would f*ck yeah again. P.S i would f*cking love it if you can make a ghost that can choose when he is known, possess and get ghost hunted by new npcs that are keen enough to sense your presence, but if you were just another class the ghost hunting npcs are easily killed, or make the ability for a ghost to go completely invisible and can scare the sh*t out of the house/shop owners, like if you can literally move stuff whilst invis and if that would make the chance of the NPC scared to the point he runs. P.P.S love the hilarious drugs, needs more varieties of em + coke needs strength to go with that speed."
582660,Addicted
504370,"It's fast, it's fun."
19900,"> Genetically enhanced, hawkeyed African supersoldiers are chasing you
> Get into a Jeep to escape
> The Africans get into a Jeep of the same model
> Somehow their Jeep is 2x faster than mine
> They catch up
> Get out of the Jeep
> Somehow manage to terminate the enemies before they hipsnipe your face off
> Someone yells in the distance ""THERE HE IS""
> Realise that your expensive ghillie-suit doesn't work against super-Africans

5/5 would conquer Africa again"
381210,"I have waited a very long time to do this review for dead by daylight.  I have played it for a long while but maybe not as much as others.  All the pros, cons, and in-betweens of this game can be summed up in one word:












Gamer."
361420,"My go-to game to relax . . . no pressure, no stress, self directed goals in a solar system sandbox.  The toy-esque  art style is a delight.  With the new Groundwork update, the game is smoother and more polished than ever."
282900,"This game has become my life I now live nep, breath nep when I close my eyes I see nep. I dedicated myself to the nep all my thoughts are nep I no longer leave my room unless nep is with me I have been converted to nepism and pry to purple heart. I pour my blood, sweat and other substances onto my alter to try to summon my godess and she will return my nep will cross the dimensional gap and enter this world to take her true place to rule this dimesnion and all dimensions hail nep destroy all who opose nep. nep is love nep is life  there is only one true nep all who stand oposed will fall hail nep.
"
730,bvvv
214490,"Oh Yeah! If you love sneaking around covertly you'll love this game. You play as Amanda Ripley (daughter of Ellen) who is on a mission to find out what happened to her mother. Not hard to predict that you'll soon come up against the Alien and your only objective in the game is to escape. The game is mainly sneaking around without making a sound solving a few simple puzzles to progress through the station fixing and activating various subsystems in order to get rescued. Yes there are Aliens stalking you, yes the music builds an intense atmosphere, yes there are facehuggers, yes you will need at least two fresh pairs of pants. Daily. Yes you will die. A lot. USE THE SAVE STATIONS EVERY TIME YOU SEE ONE!!!"
4000,very fun for making cool screenshots and stuff
578080,Game runs like a pile of shit. But is still fun when it doesnt want to give me frame lag and crash during a fight.
268500,+++++
108600,"Build 41 is amazing! Right click the game, hit predd, go to Beta, and click build 41 for access"
400,"It's just an insanely fun game with such great story and wit, I'd say it's almost as good as Portal 2, which is one of my favorite games of all time"
